action,time,price,pnl
short_exit,2020-10-20 12:00:00,11926.4,-126.39999999999964
short_entry,2020-10-20 16:00:00,11912.35,
short_exit,2020-10-21 00:00:00,12182.31,-269.9599999999991
short_entry,2020-10-21 04:00:00,12198.15,
short_exit,2020-10-21 08:00:00,12335.0,-136.85000000000036
short_entry,2020-10-21 12:00:00,12735.0,
short_exit,2020-10-22 08:00:00,12967.01,-232.01000000000022
short_entry,2020-10-22 12:00:00,12930.0,
short_exit,2020-10-22 16:00:00,13072.48,-142.47999999999956
short_entry,2020-10-22 20:00:00,12968.52,
short_exit,2020-10-24 12:00:00,13100.0,-131.47999999999956
short_entry,2020-10-24 16:00:00,13118.24,
short_exit,2020-10-25 00:00:00,13295.5,-177.26000000000022
short_entry,2020-10-27 08:00:00,13449.8,
short_exit,2020-10-27 12:00:00,13609.24,-159.4400000000005
short_entry,2020-10-27 16:00:00,13656.89,
short_exit,2020-10-28 08:00:00,13318.33,338.5599999999995
short_entry,2020-11-05 08:00:00,14717.6,
short_exit,2020-11-05 12:00:00,15080.26,-362.65999999999985
short_entry,2020-11-05 16:00:00,15120.88,
short_exit,2020-11-05 20:00:00,15590.02,-469.14000000000124
short_entry,2020-11-06 00:00:00,15430.48,
short_exit,2020-11-06 04:00:00,15733.3,-302.8199999999997
short_entry,2020-11-06 08:00:00,15572.36,
short_exit,2020-11-07 16:00:00,14643.52,928.8400000000001
short_entry,2020-11-13 00:00:00,16432.99,
short_exit,2020-11-13 12:00:00,16100.17,332.8200000000015
short_entry,2020-11-16 16:00:00,16779.01,
short_exit,2020-11-17 08:00:00,16995.06,-216.0500000000029
short_entry,2020-11-17 12:00:00,17322.19,
short_exit,2020-11-17 16:00:00,17685.22,-363.0300000000025
short_entry,2020-11-17 20:00:00,17659.38,
short_exit,2020-11-18 00:00:00,18030.71,-371.3299999999981
short_entry,2020-11-18 04:00:00,18063.7,
short_exit,2020-11-18 08:00:00,18249.99,-186.29000000000087
short_entry,2020-11-18 12:00:00,17873.88,
short_exit,2020-11-20 04:00:00,18212.0,-338.119999999999
short_entry,2020-11-20 12:00:00,18668.56,
short_exit,2020-11-22 08:00:00,17887.82,780.7400000000016
long_entry,2020-11-26 12:00:00,16905.18,
long_exit,2020-11-26 16:00:00,16516.87,-388.3100000000013
short_entry,2020-11-30 12:00:00,19291.88,
short_exit,2020-11-30 20:00:00,19695.87,-403.98999999999796
long_entry,2020-12-09 04:00:00,17924.07,
long_exit,2020-12-09 12:00:00,18349.5,425.4300000000003
short_entry,2020-12-16 12:00:00,20661.37,
short_exit,2020-12-16 20:00:00,21335.52,-674.1500000000015
short_entry,2020-12-17 00:00:00,21753.26,
short_exit,2020-12-17 04:00:00,22478.76,-725.5
short_entry,2020-12-17 08:00:00,22752.16,
short_exit,2020-12-17 12:00:00,23333.8,-581.6399999999994
short_entry,2020-12-17 16:00:00,22899.08,
